"sample_id","station","latitude","longitude","year","month","day","Acartia","Acartia longiremis","Aetideidae","Amphipoda","Ascidiacea","Bivalvia","Bryozoa","Calanus finmarchicus","Calanus glacialis","Calanus hyperboreus","Calocalanus pavo","Centropages","Centropages hamatus","Centropages typicus","Chaetognatha","Cirripedia","Cladocera","Clausocalanus","Cnidaria","Ctenophora","Decapoda","Echinodermata","Euchaeta","Euphausiacea","Foraminifera","Gastropoda","Ichthyoplankton","Isopoda","Larvacea","Mecynocera clausi","Metridia","Metridia longa","Metridia lucens","Microcalanus","Microsetella","Mysidacea","Nannocalanus minor","Oithona","Oithona atlantica","Oithona similis","Oncaea","Ostracoda","Paracalanus","Paraeuchaeta norvegica","Pleuromamma","Pleuromamma borealis","Pleuromamma robusta","Polychaeta","Pseudocalanus","Scolecithricella minor","Spinocalanus","Temora","Thaliacea","Triconia borealis","Triconia conifera"
"99022008_99022102002001","HL2",44.26,-63.31,1999,6,27,0,0,0,0,0,11318.1525177268,0,32958.4601316204,0,4889.44188765797,0,0,0,8488.61438829508,5659.07625886339,0,36783.995682612,0,2829.53812943169,0,0,0,0,0,0,16977.2287765902,0,0,28295.3812943169,0,0,5659.07625886339,36783.995682612,0,0,0,0,0,22636.3050354535,166942.74963647,0,0,0,0,0,0,0,0,113181.525177268,0,0,87715.6820123825,0,0,2829.53812943169
"99025001_99025102001001","HL2",44.26,-63.31,1999,7,5,0,0,0,1414.75560828637,0,11318.044866291,0,32958.1466506393,0,1810.88717860655,0,0,0,12732.8004745773,1414.75560828637,0,12732.8004745773,0,5659.02243314548,0,0,5659.02243314548,0,1414.75560828637,0,35368.8902071592,0,0,1414.75560828637,0,0,5659.02243314548,7073.77804143185,0,0,0,0,0,4244.26682485911,128742.76035406,0,0,0,0,0,0,0,1414.75560828637,65078.757981173,0,0,36783.6458154456,0,0,0
"99025097_99025102097001","HL2",44.26,-63.31,1999,7,17,0,0,0,0,0,22636.0571520308,0,34916.1181570075,0,4165.03451597367,0,2829.50714400385,0,0,1414.75357200193,0,1414.75357200193,0,2829.50714400385,0,0,1414.75357200193,0,0,0,2829.50714400385,0,0,9903.27500401349,0,0,5659.01428800771,15562.2892920212,0,0,0,0,0,26880.3178680366,93373.7357521271,0,19806.550008027,0,0,0,0,0,2829.50714400385,46686.8678760636,1414.75357200193,0,11318.0285760154,0,0,0
"99029107_99029102107001","HL2",44.26,-63.31,1999,7,31,0,0,0,0,0,7074.58770614693,0,18382.6086956522,0,905.547226386807,0,8489.50524737631,0,0,5659.67016491754,0,11319.3403298351,0,2829.83508245877,0,0,0,0,1414.91754122939,0,11319.3403298351,0,0,15564.0929535232,0,0,1414.91754122939,14149.1754122939,0,0,0,0,0,16979.0104947526,216482.383808096,0,0,5659.67016491754,0,0,0,0,0,29713.2683658171,0,0,21223.7631184408,0,0,1414.91754122939
"99666011_99666102011001","HL2",44.26,-63.31,1999,8,13,0,0,0,1742.78846153846,0,1742.78846153846,0,19031.25,0,1812.5,0,0,0,76682.6923076923,3485.57692307692,0,12199.5192307692,0,3485.57692307692,0,0,6971.15384615385,0,6971.15384615385,0,1742.78846153846,0,0,1742.78846153846,0,0,1742.78846153846,6971.15384615385,0,0,0,0,0,22656.25,264903.846153846,1742.78846153846,0,3485.57692307692,0,0,0,0,0,40084.1346153846,0,0,5228.36538461538,0,0,1742.78846153846
"99666012_99666102012001","HL2",44.26,-63.31,1999,8,27,0,0,0,0,0,16985.2941176471,0,11595.2941176471,0,1087.05882352941,0,0,0,172683.823529412,14154.4117647059,0,11323.5294117647,0,5661.76470588235,0,0,8492.64705882353,0,2830.88235294118,0,2830.88235294118,0,0,0,0,0,5661.76470588235,5661.76470588235,0,0,0,0,0,8492.64705882353,288750,5661.76470588235,0,8492.64705882353,0,0,0,0,0,50955.8823529412,0,0,5661.76470588235,0,0,0
"99666013_99666102013001","HL2",44.26,-63.31,1999,9,10,0,0,0,0,0,12534.5503631806,0,11057.4018126888,0,543.80664652568,0,0,0,13016.6484540721,2892.58854534936,0,2892.58854534936,0,0,0,0,482.09809089156,0,482.09809089156,0,964.19618178312,0,0,482.09809089156,0,0,0,3856.78472713248,0,0,0,0,0,11088.2560905059,26515.3949990358,0,0,964.19618178312,0,0,0,0,0,964.19618178312,0,0,0,9159.86372693964,0,1446.29427267468
"99054005_99054102001001","HL2",44.26,-63.33,1999,10,24,0,0,0,0,0,14419.1156275748,0,12359.2419664927,0,0,0,0,0,170969.513869816,58.9123867069486,0,0,6179.62098324636,0,0,0,2059.87366108212,0,2.26586102719033,0,4119.74732216424,0,0,0,0,0,6179.62098324636,14419.1156275748,22658.6102719033,0,0,0,0,2059.87366108212,135951.66163142,0,0,63856.0834935457,0,0,0,0,0,14419.1156275748,0,0,0,0,0,0
"99054220_99054102050003","HL2",44.27,-63.3,1999,11,5,0,0,0,0,0,11325.5033557047,0,25482.3825503356,0,0,0,0,0,188286.493288591,11.3255033557047,1415.68791946309,0,1415.68791946309,0,0,0,2831.37583892617,0,1415.68791946309,0,18403.9429530201,0,0,0,1415.68791946309,0,5662.75167785235,11325.5033557047,8494.12751677852,0,0,0,0,0,120333.473154362,0,0,31145.1342281879,0,0,0,1415.68791946309,0,12741.1912751678,0,0,0,0,0,8494.12751677852
"99054284_99054102055001","HL2",44.26,-63.32,1999,11,12,0,0,0,0,0,24.9310872894334,4.53292496171516,7397.73353751914,0,217.580398162328,0,0,0,165.451761102603,6.79938744257274,0,0,2.26646248085758,0,0,0,0,0,0,0,54.3950995405819,0,0,0,0,0,2.26646248085758,27.197549770291,38.5298621745789,0,0,2.26646248085758,0,36.2633996937213,401.163859111792,0,0,2.26646248085758,0,0,0,0,4.53292496171516,56.6615620214395,0,0,2.26646248085758,0,0,6.79938744257274
"99666014_99666102014001","HL2",44.26,-63.31,1999,11,24,0,0,0,0,0,48149.5468277946,0,2379.15407854985,0,0,0,0,0,56646.5256797583,5664.65256797583,0,0,5664.65256797583,0,0,0,0,0,0,0,11329.3051359517,0,0,0,0,0,0,14161.6314199396,11329.3051359517,0,0,2832.32628398792,0,14161.6314199396,269070.996978852,0,0,5664.65256797583,0,0,0,0,0,67975.83081571,0,0,5664.65256797583,0,0,2832.32628398792
"99666015_99666102015001","HL2",44.26,-63.31,1999,12,10,0,0,0,0,0,49565.7099697885,1416.16314199396,19667.6737160121,0,815.70996978852,0,0,0,29739.4259818731,1416.16314199396,0,0,7080.81570996979,0,0,0,0,0,0,0,5664.65256797583,0,0,1416.16314199396,4248.48942598187,0,0,9913.1419939577,22658.6102719033,0,0,0,0,15577.7945619335,281816.465256798,0,0,18410.1208459215,0,0,0,0,0,24074.7734138973,0,0,0,0,0,4248.48942598187
"99666016_99666102016001","HL2",44.26,-63.31,1999,12,23,0,0,0,0,0,5664.65256797583,0,8927.49244712991,0,90.6344410876133,2832.32628398792,0,0,192598.187311178,0,0,0,11329.3051359517,0,0,0,0,0,0,0,65143.5045317221,0,0,0,8496.97885196375,0,5664.65256797583,5664.65256797583,22658.6102719033,0,0,2832.32628398792,0,8496.97885196375,484327.794561933,0,0,65143.5045317221,0,2832.32628398792,0,0,0,56646.5256797583,0,0,0,0,0,0
"2000666001_2000666102001001","HL2",44.26,-63.31,2000,1,10,0,0,0,0,0,1414.7564469914,1414.7564469914,4670.18549238426,142.964862011763,23.8274770019605,0,11318.0515759312,0,0,45.2722063037249,0,0,1414.7564469914,0,2.26361031518625,0,0,0,0,0,12732.8080229226,0,0,0,0,0,2829.51289398281,19806.5902578797,19806.5902578797,0,0,0,0,8488.53868194842,178259.312320917,0,0,0,0,0,0,0,0,41027.9369627507,0,0,2829.51289398281,0,0,1414.7564469914
"2000666002_2000666102002001","HL2",44.26,-63.31,2000,1,31,0,0,0,0,0,0,0,3299.41520467836,36.2573099415205,217.543859649123,0,0,0,7309.94152046783,24.9269005847953,0,0,0,0,0,0,0,0,0,0,5847.95321637427,0,0,2192.98245614035,0,0,730.994152046783,4385.9649122807,5116.95906432748,730.994152046783,0,0,0,730.994152046783,89181.2865497076,0,0,5847.95321637427,0,0,0,0,0,8771.9298245614,730.994152046783,0,3654.97076023392,0,0,0
"99065000_99065102000001","HL2",44.26,-63.33,2000,2,15,0,0,0,0,0,0,0,3400,0,198.333333333333,0,0,0,2266.66666666667,29.4666666666667,0,0,0,0,0,0,0,0,453.333333333333,0,0,0,0,0,0,0,1813.33333333333,6346.66666666667,14506.6666666667,0,0,0,0,2266.66666666667,60293.3333333333,0,0,0,906.666666666667,0,0,0,0,7253.33333333333,0,0,0,0,0,0
"99066001_99066102001001","HL2",44.26,-63.31,2000,3,2,0,0,0,0,0,906.752411575563,0,7288.89438535741,244.125649270344,279.00074202325,0,0,0,17228.2958199357,924.887459807074,0,0,906.752411575563,0,0,906.752411575563,906.752411575563,0,1818.038585209,0,5440.51446945338,0,0,906.752411575563,0,0,9067.52411575563,0,10881.0289389068,0,0,0,0,6347.26688102894,194045.01607717,0,0,3627.00964630225,0,0,0,0,0,75260.4501607717,0,0,5440.51446945338,0,0,0
"99066123_99066102123001","HL2",44.26,-63.31,2000,3,17,0,0,0,0,0,905.923344947735,0,4494.77351916376,452.961672473868,0,0,11777.0034843206,0,0,6.79442508710801,0,0,0,2.26480836236934,0,0,0,0,908.188153310105,0,1811.84668989547,2.26480836236934,0,5435.54006968641,0,0,905.923344947735,5435.54006968641,9059.23344947735,0,0,0,0,3623.69337979094,113240.418118467,0,0,0,0,0,0,0,0,69756.0975609756,1811.84668989547,0,8153.31010452962,0,1811.84668989547,0
"2000002005_2000002102001001","HL2",44.26,-63.31,2000,4,6,0,0,0,0,0,6970.37590241474,0,30265.3721682848,724.919093851133,5980.58252427184,0,0,0,45307.4433656958,74.7572815533981,0,1742.59397560368,0,0,0,1742.59397560368,0,0,6970.37590241474,0,95844.9340303709,2.26537216828479,0,10455.5638536221,0,0,5227.78192681105,38337.067463281,10455.5638536221,0,0,0,0,31366.6915608663,160318.645755539,0,0,5227.78192681105,0,0,0,0,1742.59397560368,128951.954194673,1742.59397560368,0,20911.1277072442,0,1742.59397560368,0
"2000002073_2000002102020001","HL2",44.26,-63.31,2000,4,12,0,0,0,0,0,0,0,62518.593892149,2515.11584623588,3233.72037373184,0,0,0,11913.7066400647,9.05441704644916,0,0,3574.1119920194,0,0,0,0,0,5956.85332003234,0,11913.7066400647,0,0,11913.7066400647,0,0,5956.85332003234,25018.7839441358,4765.48265602587,0,0,0,0,41697.9732402264,70290.8691763816,0,0,1191.37066400647,0,0,0,0,0,41697.9732402264,0,0,9530.96531205175,0,3574.1119920194,0
"2000002200_2000002102063002","HL2",44.26,-63.31,2000,4,23,0,0,0,0,0,38362.6020281969,0,138995.599932307,1193.0952783889,2982.73819597225,0,0,0,10462.5278258719,6.80064308681672,0,0,0,0,0,1743.75463764531,0,0,5231.26391293594,0,20925.0556517438,0,0,0,0,0,1743.75463764531,10462.5278258719,1743.75463764531,0,0,0,0,15693.7917388078,122062.824635172,0,0,0,0,0,0,0,0,113344.051446945,0,0,19181.3010140984,0,1743.75463764531,0
"2000001030_2000001102077001","HL2",44.26,-63.31,2000,5,2,0,0,0,0,0,34824.7534347414,0,116802.223020123,452.721794651638,452.721794651638,0,0,0,31342.2780912673,29.4269166523565,1741.23767173707,0,10447.4260304224,0,0,0,0,0,8706.18835868535,0,3482.47534347414,4.52721794651638,0,15671.1390456336,0,0,0,31342.2780912673,20894.8520608448,0,0,0,0,27859.8027477931,40048.4664499526,0,0,0,0,0,0,0,0,36565.9911064785,0,0,34824.7534347414,0,0,0
"2000002246_2000002102236001","HL2",44.26,-63.33,2000,5,8,0,0,0,0,0,31381.7881964896,0,151678.6429497,0,0,0,0,0,15690.8940982448,15.8652373660031,0,0,3486.86535516551,0,0,0,0,0,1743.43267758275,0,0,0,0,5230.29803274826,0,0,1743.43267758275,27894.9228413241,29638.3555189068,0,0,0,0,8717.16338791377,85428.201201555,0,0,0,0,0,0,0,0,69737.3071033102,0,0,6973.73071033102,0,1743.43267758275,0
"2000009007_2000009102007001","HL2",44.26,-63.31,2000,5,20,0,0,0,0,0,2385.11687072667,0,137144.220066783,0,1192.55843536333,0,4770.23374145333,0,0,15.8610271903323,0,0,3577.67530609,0,11.3293051359517,0,0,0,3577.67530609,0,0,0,0,0,0,0,9540.46748290666,33391.6361901733,2385.11687072667,0,0,0,0,0,20273.4934011767,0,0,0,0,0,0,0,0,34584.1946255366,0,0,1192.55843536333,0,0,0
"2000009153_2000009102153001","HL2",44.26,-63.31,2000,6,8,0,0,0,0,0,905.441704644916,0,67002.6861437238,0,1358.16255696737,0,2716.32511393475,0,0,15.845229831286,0,0,9054.41704644916,0,0,4.52720852322458,905.441704644916,0,3624.03042284128,0,905.441704644916,0,0,905.441704644916,0,0,7243.53363715933,18108.8340928983,5432.6502278695,0,0,0,0,4527.20852322458,114085.654785259,0,0,9054.41704644916,0,0,0,0,0,201008.058431171,1810.88340928983,0,4527.20852322458,0,905.441704644916,0
"2000075025_2000075102005001","HL2",44.26,-63.32,2000,6,14,0,0,0,0,0,4527.20852322458,0,86922.4036459119,0,452.720852322458,0,1810.88340928983,0,0,0,0,0,2716.32511393475,0,0,0,3621.76681857966,0,1810.88340928983,0,1810.88340928983,0,0,6338.09193251441,0,0,3621.76681857966,13581.6255696737,1810.88340928983,0,0,0,0,1810.88340928983,122234.630127064,905.441704644916,0,0,0,0,0,0,0,133099.930582803,0,0,6338.09193251441,0,905.441704644916,0
"2000026000_2000026102000001","HL2",44.26,-63.31,2000,6,29,0,0,0,0,0,905.443589303277,0,49346.6756170286,0,452.721794651638,0,5432.66153581966,0,0,2.26360897325819,0,3621.77435721311,0,0,6.79082691977458,0,2716.33076790983,0,905.443589303277,0,0,0,0,0,0,0,0,30785.0820363114,5432.66153581966,0,0,0,0,9054.43589303277,126762.102502459,0,0,905.443589303277,0,0,0,0,0,108653.230716393,1810.88717860655,0,1810.88717860655,0,1810.88717860655,0
"2000026103_2000026102103001","HL2",44.26,-63.32,2000,7,15,0,0,0,905.452928574316,0,1810.90585714863,0,96883.4633574518,0,0,0,7243.62342859453,0,0,56.5908080358947,0,1810.90585714863,0,0,47.5362787501516,0,0,0,3621.81171429726,0,3621.81171429726,0,0,0,0,0,9054.52928574316,60665.3462144792,12676.3410000404,0,0,0,0,8149.07635716884,230890.496786451,0,0,7243.62342859453,0,0,0,905.452928574316,0,55232.6286430333,2716.35878572295,0,905.452928574316,0,8149.07635716884,0
"2000031126_2000031102126001","HL2",44.26,-63.31,2000,7,29,0,0,0,0,0,905.441704644916,0,55684.6648356623,0,150.906950774153,0,0,3621.76681857966,0,72.4353363715933,0,0,5432.6502278695,11.3180213080614,24.8996468777352,2.26360426161229,0,0,4527.20852322458,0,5432.6502278695,0,0,0,0,0,1810.88340928983,34406.7847765068,7243.53363715933,0,0,0,0,7243.53363715933,235414.843207678,0,0,31690.4596625721,0,0,0,0,0,18108.8340928983,0,0,3621.76681857966,0,2716.32511393475,0
"2000666004_2000666102004001","HL2",44.26,-63.31,2000,8,22,0,0,0,0,0,5223.70214218221,0,34118.0932185041,0,0,0,0,0,38307.1490426695,3493.7861160962,0,3482.46809478814,0,0,0,0,0,0,1741.23404739407,0,13929.8723791525,0,0,0,0,0,0,6964.93618957627,1741.23404739407,0,0,0,1741.23404739407,6964.93618957627,186312.043071165,0,0,29600.9788056992,0,0,0,0,0,10447.4042843644,0,0,3482.46809478814,0,0,0
"2000666005_2000666102005001","HL2",44.26,-63.31,2000,9,12,0,0,0,0,0,2920.77969240295,730.194923100739,8027.89883478777,0,263.209797861894,0,0,0,57685.3989249583,9.05441704644916,0,730.194923100739,1460.38984620148,6.79081278483687,2.26360426161229,730.194923100739,730.194923100739,0,730.194923100739,0,2920.77969240295,0,0,730.194923100739,0,0,2190.58476930222,10952.9238465111,7301.94923100739,0,0,0,0,730.194923100739,44541.890309145,0,0,17524.6781544177,0,0,0,0,0,2190.58476930222,0,0,7301.94923100739,0,1460.38984620148,0
"2000050005_2000050102001001","HL2",44.3,-63.2,2000,9,30,0,0,0,0,0,8762.37685731095,0,7448.95348918899,0,144.639873576485,0,0,0,46002.4785008825,752.834211657299,0,4381.18842865548,2920.79228577032,0,0,0,0,0,0,0,0,0,0,0,0,0,2920.79228577032,8032.17878586837,6571.78264298321,0,0,0,0,4381.18842865548,64257.430286947,0,0,22636.14021472,0,0,0,0,2.263614021472,1460.39614288516,0,0,3650.9903572129,18985.1498575071,0,0
"2000050083_2000050102019001","HL2",44.26,-63.32,2000,10,7,0,0,0,0,0,1810.888252149,0,9563.75358166189,0,339.541547277937,0,0,0,91449.8567335244,6.79083094555874,0,0,1810.888252149,0,0,0,0,0,0,0,0,905.444126074499,0,0,0,0,2716.3323782235,21730.659025788,9959.88538681948,0,0,0,0,3621.77650429799,50704.8710601719,0,0,31690.5444126075,905.444126074499,0,0,0,0,5432.66475644699,905.444126074499,0,0,15392.5501432665,0,0
"2000050286_2000050102050001","HL2",44.26,-63.31,2000,10,16,0,1460.39997197611,0,0,0,10222.7998038328,1460.39997197611,10302.3728792289,0,0,0,0,0,77401.1985147338,6.79085986968891,0,730.199985988054,730.199985988054,4.52723991312594,0,0,0,0,6.79085986968891,0,730.199985988054,0,0,0,0,0,3650.99992994027,34319.3993414385,10952.9997898208,0,0,0,0,4381.19991592833,65717.9987389249,0,0,10952.9997898208,0,0,0,0,734.72722590118,8032.1998458686,0,0,4381.19991592833,0,0,0
"2000050328_2000050102051001","HL2",44.26,-63.31,2000,10,25,0,0,0,0,0,0,905.441704644916,2788.76045030634,36.2176681857966,54.326502278695,0,0,0,124950.955240998,18.1088340928983,0,0,905.441704644916,0,0,0,0,0,11.3180213080614,0,4527.20852322458,0,0,0,0,0,1810.88340928983,13581.6255696737,16297.9506836085,0,0,0,0,905.441704644916,53421.06057405,0,0,20825.1592068331,0,0,0,0,0,1810.88340928983,905.441704644916,0,0,0,0,0
"2000068088_2000068102088001","HL2",44.27,-63.32,2000,12,8,0,0,0,0,0,0,0,7767.81731928395,95.3106419544043,95.3106419544043,0,0,0,56137.9681111441,18.1090219713368,0,0,1810.90219713368,0,0,0,0,0,2.2636277464171,0,26258.0818584384,0,0,14487.2175770695,0,0,1810.90219713368,8149.05988710157,15392.6686756363,0,0,0,0,0,238133.638923079,0,0,25352.6307598715,0,0,0,0,0,24447.1796613047,0,0,1810.90219713368,0,905.451098566841,0
"2001666001_2001666102001001","HL2",44.26,-63.31,2001,1,5,0,0,0,0,0,1810.88340928983,0,9959.85875109407,0,452.720852322458,0,4527.20852322458,0,0,27.1632511393475,0,0,0,4.52720852322458,0,0,0,0,0,0,3621.76681857966,0,0,8148.97534180424,0,0,905.441704644916,9959.85875109407,12676.1838650288,0,0,0,0,905.441704644916,264388.977756315,0,0,0,0,0,0,0,0,17203.3923882534,0,0,2716.32511393475,0,0,0
"2001003000_2001003102000001","HL2",44.26,-63.31,2001,2,13,0,0,0,905.443589303277,0,0,0,4844.12320277253,181.088717860655,135.816538395492,0,0,0,23541.5333218852,9.05443589303277,0,0,905.443589303277,0,0,1810.88717860655,0,0,905.443589303277,0,1810.88717860655,0,0,1810.88717860655,0,0,0,4527.21794651638,9054.43589303277,905.443589303277,0,0,0,3621.77435721311,145776.417877828,0,0,905.443589303277,0,0,0,0,905.443589303277,22636.0897325819,1810.88717860655,0,0,0,1810.88717860655,0
"2001004001_2001004102001001","HL2",44.26,-63.3,2001,2,27,0,0,0,0,0,0,0,19096.6148780739,411.564975820558,823.129951641115,0,4527.21473402613,0,0,18.1088589361045,0,0,0,0,2.26360736701307,0,0,0,2.26360736701307,0,0,2.26360736701307,0,0,0,0,5432.65768083136,10865.3153616627,10865.3153616627,0,0,0,0,0,106842.267723017,0,0,0,0,0,0,0,0,25352.4025105464,0,0,905.442946805227,0,0,0
"2001004094_2001004102094001","HL2",44.26,-63.31,2001,3,14,0,0,0,0,0,0,0,38481.2791998421,452.720931762848,1961.79070430567,0,0,0,22636.0465881424,6.79081397644272,0,905.441863525696,0,0,0,0,905.441863525696,0,2716.32559057709,0,12676.1860893597,2.26360465881424,0,6338.09304467987,0,0,2716.32559057709,30785.0233598737,16297.9535434625,905.441863525696,0,0,0,5432.65118115417,192859.116930973,0,0,2716.32559057709,0,0,0,0,0,33501.3489504507,0,0,2716.32559057709,0,905.441863525696,0
"2001666003_2001666102003001","HL2",44.26,-63.31,2001,3,30,0,0,0,452.726582352426,0,452.726582352426,0,28295.4113970266,7696.35189999124,4753.62911470047,0,0,0,10865.4379764582,2.26363291176213,1358.17974705728,0,0,0,2.26363291176213,0,0,0,6790.89873528639,0,6338.17215293396,0,0,17203.6101293922,0,0,9507.25822940094,14939.97721763,13129.0708882203,0,0,0,3621.81265881941,2263.63291176213,168867.015217455,452.726582352426,0,0,0,0,452.726582352426,0,905.453164704851,51158.1038058241,452.726582352426,0,452.726582352426,0,2263.63291176213,0
"2001666004_2001666102004001","HL2",44.26,-63.31,2001,4,10,0,0,0,0,0,0,0,86374.3731404689,10722.3359760582,12509.3919720679,0,0,0,10447.4042843644,13.5816255696737,0,0,0,0,0,0,3482.46809478814,0,3482.46809478814,0,10447.4042843644,6.79081278483687,0,47013.3192796399,0,0,0,1741.23404739407,5223.70214218221,0,0,0,0,0,174123.404739407,0,0,0,0,0,0,0,0,81838.0002275212,0,0,19153.5745213348,0,1741.23404739407,0
"2001009005_2001009102001002","HL2",44.26,-63.31,2001,5,1,0,0,0,2.26362528295316,0,6338.15079226885,0,35312.5544140693,905.450113181264,9778.86122235765,0,2716.35033954379,0,0,905.450113181264,0,0,0,0,0,0,1810.90022636253,0,14487.2018109002,0,905.450113181264,11.3181264147658,0,90545.0113181264,0,0,905.450113181264,4527.25056590632,2716.35033954379,0,0,0,0,1810.90022636253,95977.711997214,0,0,0,0,0,0,0,3621.80045272506,88734.1110917639,0,0,8149.05101863138,0,0,0
"2001009089_2001009102021002","HL2",44.26,-63.31,2001,5,6,0,0,0,905.447982625187,0,0,0,9205.38782335607,1207.26397683358,12374.4557625442,0,0,0,8149.03184362669,4.52723991312594,0,0,0,0,0,0,0,0,4527.23991312594,0,0,0,0,9054.47982625187,0,0,0,7243.5838610015,4527.23991312594,0,0,0,0,2716.34394787556,39839.7112355082,905.447982625187,0,0,0,0,0,0,0,37123.3672876327,0,0,1810.89596525037,0,905.447982625187,0
