# AZMP_BottomTemp.dat   2020-03-27 17:22
# Peter Galbraith <Peter.Galbraith@dfo-mpo.gc.ca>
# with Maritimes data from Dave Hebert and NL data from Fred Cyr
#
# Bottom temperatures
#
# col  1: Year
# col  2: 3Ps, spring
# col  3: 3LNO, spring
# col  4: 2J, fall
# col  5: 3K, fall
# col  6: 3LNO, fall
# col  7: Mecatina Trough, >100 m, August
# col  8: nGSL, >200 m, August
# col  9: nGSL, <200 m, August
# col 10: Magdalen Shallows, >30 m, September
# col 11: 4V, July
# col 12: 4W, July
# col 13: 4X, July
#
# Missing value parameter: -99
#
#Yr   3Ps 3LNO   2J   3K 3LNO  Meca  nG>  nG< MagS   4V   4W   4X
1981 3.90 1.88 2.19 2.45 1.08   -99  -99  -99 1.56 4.37 6.98 6.90
1982 2.14 0.68 1.40 2.33 1.64   -99  -99  -99 2.24 2.82 5.73 7.47
1983 2.43 1.33 1.46 2.18 1.19   -99  -99  -99 1.45 3.42 6.43 7.39
1984 2.47 0.57 0.79 1.86 0.92   -99  -99  -99 0.18 5.18 7.96 7.91
1985 1.98 0.27 1.03 1.43 0.62   -99  -99  -99 1.63 3.41 7.63 8.47
1986 2.19 0.39 2.16 2.37 1.14   -99  -99  -99 1.98 3.84 7.37 7.78
1987 1.15 0.82 1.20 1.95 0.80   -99  -99 2.59 1.15 2.76 5.89 6.31
1988 2.53 1.09 2.08 2.27 0.59   -99  -99 2.82 1.30 4.14 5.84 7.12
1989 1.70 0.33 1.82 2.28 1.21   -99  -99  -99 1.06 2.87 6.12 7.25
1990 1.04 -0.08 1.28 1.62 0.64   -99  -99 2.47 1.08 2.61 6.05 7.14
1991 1.46 -0.06 1.52 2.03 0.44   -99 4.83 2.07 1.61 2.58 5.80 6.66
1992 2.84 0.13 1.09 1.62 0.49   -99 4.79 2.17 0.38 3.26 6.23 7.44
1993 1.81 0.39 1.10 1.63 0.13   -99 4.97 2.37 1.20 3.35 6.74 7.06
1994 1.80 0.20 1.47 1.83 0.44 -0.25 5.40 2.09 0.93 2.96 6.78 8.14
1995 2.01 0.63 1.99 2.10 0.98 -1.24 5.14 2.19 0.83 3.22 6.65 6.78
1996 2.30 1.06 2.41 2.43 1.18 -0.35 5.03 2.28 1.04 2.91 6.21 7.00
1997 1.84 0.60 2.27 2.77 1.11 -1.10 5.34 2.56 1.00 3.44 6.28 7.42
1998 2.28 1.40 2.26 2.70 1.50 -0.58  -99 2.45 0.97 3.43 4.98 5.23
1999 2.83 1.80 2.45 2.87 2.03 -0.30 5.21 3.55 1.66 3.97 6.74 7.91
2000 2.95 1.43 2.03 2.71 0.98  0.49 5.29 3.44 1.57 4.19 7.46 8.27
2001 1.89 1.14 2.54 2.53 1.18 -0.75 5.33 2.66 1.23 3.44 5.84 6.38
2002 2.19 1.00 2.37 2.79 1.14 -0.57 5.42 2.81 1.93 3.80 6.75 8.12
2003 1.52 0.51 2.64 2.91 1.04 -1.06 5.43 2.38 1.45 2.73 5.80 7.45
2004 2.31 1.82 2.79 3.17 1.60 -0.35 5.39 2.71 1.42 2.77 4.75 6.05
2005 2.73 1.41 2.88 2.95 1.29 -0.06 5.30 2.86 1.34 3.87 6.40 7.28
2006 2.75 1.41 2.04 2.60 1.44 -0.59 5.35 3.34 1.62 4.20 7.39 8.15
2007 1.77 1.21 2.94 2.98 1.12 -0.25 5.37 2.63 2.07 3.24 5.62 6.25
2008 2.31 1.20 2.22 2.86 0.91 -0.74 5.21 3.06 1.00 3.48 5.38 6.88
2009 2.60 1.22 2.33 2.63 1.41 -0.38 5.08 2.95 1.97 3.75 6.63 7.24
2010 2.71 1.60 3.15 3.23 1.84  0.58 5.15 3.17 1.91 3.83 6.89 7.57
2011 3.05 2.30 3.15 3.56 2.41  0.31 5.32 3.36 1.81 4.23 6.55 7.70
2012 2.92 1.88 2.22 2.67 1.37  0.03 5.53 3.93 1.75 4.51 8.09 9.36
2013 2.79 1.73 2.25 2.74 1.46 -0.04 5.67 3.31 1.55 4.09 6.94 8.29
2014 2.71 0.82 1.94 2.40 1.29 -0.22 5.78 3.44 1.30 4.57 8.33 8.91
2015 2.77 1.10 1.94 2.52 1.10  0.45 5.92 3.56 1.43 5.15 7.94 8.15
2016 3.28 0.92 2.39 2.41 1.35 -0.11 6.01 3.47 1.41 4.78 8.12 9.10
2017 2.57 1.01 2.11 2.23 0.65 -0.84 6.05 2.97 0.95 4.63 7.22 8.81
2018 2.99 1.30 2.70 2.87 1.25 -0.18 6.15 3.27 1.44  -99  -99 8.64
2019 2.85 1.21 2.70 2.92 1.27 -0.43 6.24 3.02 2.11 4.32 7.27 8.39
