# AZMP_CIL_ICE_NAO.dat   2020-03-27 10:44
# Peter Galbraith <Peter.Galbraith@dfo-mpo.gc.ca>
# with Maritimes data from Dave Hebert and NL data from Fred Cyr
#
# Cold Intermediate Layer (CIL) temperature minimum areaa or volumes
# Sea ice volumes
# NAO index, Roger's Dec-Jan-Feb index
#
# col  1: Year
# col  2: CIL, Seal Island 0C Area (km^2)
# col  3: CIL, White Bay 0C Area (km^2)
# col  4: CIL, Bonavista 0C Area (km^2)
# col  5: CIL, Flemish Cap 0C Area (km^2)
# col  6: sGSL, Sep. T<1C Btm Area (x10^3 km^2)
# col  7: CIL, GSL Gilbert & Pettigrew 1997 T min index (degC)
# col  8: CIL, GSL Aug-Sep T<1C Volume (x10^3 km^3)
# col  9: CIL, Scotian Shelf T<4C Volume (x10^3 km^3)
# col 10: Sea Ice, Labrador + Nfld, DJFMAMJ avg (km^3)
# col 11: Sea Ice, GSL + SS, JFM avg (km^3)
# col 12: NAO winter (Dec-Jan-Feb-Mar) EOF index (SD relative to 1981-2010)
#          https://www.ncdc.noaa.gov/teleconnections/nao/data.csv
# Missing value parameter: -99
#
#Yr    SI   WB Bona   FC sGSL  GP97  GSLv   SSv IceNL IceGSL  NAO
1989  -99 49.0 26.8 18.6 34.3 -0.64 10.15   -99  24.2 44.1   1.41
1990 26.9 60.0 38.1 26.1 30.7 -0.88  9.98  5.84  42.3 62.5   0.69
1991 27.6 52.8 38.9 23.4 30.8 -0.89 12.76  6.46  53.7 49.3   0.48
1992 24.7 46.5 28.5 10.9 37.3 -0.83 12.27  6.24  42.0 52.2   0.57
1993 26.2 49.4 29.8 20.5 30.9 -0.75 10.88  6.11  52.6 70.2   0.81
1994 20.0 49.9 28.1 26.6 34.2 -0.87 10.49  5.78  55.0 72.4   1.08
1995 18.8 28.3 21.7 10.6 35.7 -0.80 11.81  5.87  35.9 52.5   1.33
1996 21.3 40.0 24.1  3.8 31.7 -0.65 10.88  5.97  24.5 39.8  -0.53
1997 17.5 31.6 20.0  9.1 30.8 -0.51  9.71  6.30  28.8 40.1   0.32
1998 20.5 27.4 25.7 15.6 36.6 -0.77 10.35  7.22  32.4 20.1   0.05
1999 14.2 26.7 19.6 13.5 27.0 -0.20  7.07  4.98  27.6 27.5   0.54
2000 19.4 43.4 28.0 18.5 27.0  0.10  5.75  3.46  28.0 17.0   1.17
2001 23.8 34.7 19.4  1.2 30.5 -0.23  9.73  6.95  24.4 25.2  -0.28
2002 19.9 26.2 20.1 21.9 26.8 -0.20  7.94  5.21  23.7 23.8   0.35
2003 23.3 30.8 23.6 11.2 31.1 -0.82 11.40  6.84  34.9 61.6   0.04
2004 16.0 26.0 12.6  3.0 30.6 -0.28  9.08  7.97  20.2 32.1   0.31
2005 20.4 25.5 16.6 17.3 26.4 -0.08  7.77  4.94  21.8 37.5   0.21
2006 19.6 18.9 15.3 14.8 26.2  0.21  5.58  4.01  15.6 10.0  -0.24
2007 19.7 26.5 19.3 30.1 26.3 -0.23  9.45  6.80  29.6 18.8   0.63
2008 19.1 34.9 16.1 14.0 32.5 -0.70 10.65  6.58  26.5 34.3   0.51
2009 24.4 47.6 26.6 14.8 25.8 -0.42  8.55  4.95  35.9 39.8   0.08
2010 19.7 27.5 20.9  1.2 21.4 -0.04  7.08  4.84  13.0  4.7  -1.47
2011 16.4  6.8  6.5  6.5 24.1  0.17  5.27  4.85  10.0  6.1  -0.36
2012 27.5 31.5 21.4 20.8 17.3  0.42  3.53  2.89  22.0  9.5   1.35
2013 17.0 31.8 18.5 10.5 27.2  0.09  5.54  5.04  19.8 15.8  -0.38
2014 20.9 43.0 36.5  -99 31.6 -0.49  8.70  3.30  38.0 57.9   0.84
2015 27.0 40.7 31.6 24.1 28.1 -0.28  6.76  4.08  31.9 41.4   1.60
2016 17.9 40.4 28.1 22.9 25.7 -0.10  6.02  4.25  34.5  7.5   1.17
2017 26.3 40.3 27.2  7.5 29.5 -0.30  8.42  4.62  33.2 11.8   0.68
2018 13.1 22.7 20.1 16.5 23.8 -0.05  6.45   -99  24.8 18.0   0.74
2019 19.7  -99 15.7 12.7 24.4 -0.45  9.09  5.10  22.1 32.4   0.68
