# AZMP_SST_Monthly.dat   2020-03-21 11:43
# Peter Galbraith <Peter.Galbraith@dfo-mpo.gc.ca>
#
# SST averaged monthly over AE regions.
#
# col  1: Year
# col  2: Month
#
# col  3: SST in NAFO 2G
# col  4: SST in NAFO 2H
# col  5: SST in NAFO 2J
# col  6: SST in NAFO 3K 
# col  7: SST in NAFO 3L
# col  8: SST in NAFO 3M
# col  9: SST in NAFO 3N
# col 10: SST in NAFO 3O
# col 11: SST in NAFO 3P
# col 12: SST in GSL
# col 13: SST in Estuary
# col 14: SST in NAFO 4Vn
# col 15: SST in NAFO 4Vs
# col 17: SST in NAFO 4W
# col 18: SST in NAFO 4X SS
# col 19: SST in NAFO 4X eGdM+BdF
# col 20: SST standardized anomaly in NAFO 2G
# col 21: SST standardized anomaly in NAFO 2H
# col 22: SST standardized anomaly in NAFO 2J
# col 23: SST standardized anomaly in NAFO 3K
# col 24: SST standardized anomaly in NAFO 3L 
# col 25: SST standardized anomaly in NAFO 3M 
# col 26: SST standardized anomaly in NAFO 3N
# col 27: SST standardized anomaly in NAFO 3O
# col 28: SST standardized anomaly in NAFO 3P
# col 29: SST standardized anomaly in GSL
# col 30: SST standardized anomaly in Estuary
# col 31: SST standardized anomaly in NAFO 4Vn
# col 32: SST standardized anomaly in NAFO 4Vs
# col 33: SST standardized anomaly in NAFO 4W
# col 34: SST standardized anomaly in NAFO 4X SS
# col 35: SST standardized anomaly in NAFO 4X eGdM+BdF
#
# Missing value parameter: -99
#Yr  Mn    2G    2H    2J    3K    3L    3M    3N    3O    3P   GSL   Est   4Vn   4Vs    4W  4XSS 4XeGdM   2J    3K    3L    3M    3N    3O    3P   GSL   Est   4Vn   4Vs    4W  4XSS 4XeGdM
1982 11   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99 10.80  9.63   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99  1.27  0.29
1983 02   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99  3.56  4.14   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99  2.33  1.45
1983 03   -99   -99   -99   -99  1.17   -99   -99   -99   -99   -99   -99   -99   -99  2.14  2.23   -99   -99   -99  0.85   -99   -99   -99   -99   -99   -99   -99   -99  0.84  1.32   -99
1983 04   -99   -99   -99  0.71  1.93  5.44  4.02  4.28  2.64  0.62   -99  2.07  3.24  3.32  2.90  3.50   -99  1.06  1.38  1.54  2.23  1.86  1.72  0.64   -99  1.86  1.94  1.17  0.95  0.25
1983 05   -99 -0.01  0.12  0.77  2.70  6.09   -99  6.06  3.83  3.25  2.35  3.88  4.57  5.23  5.22  5.26 -0.17 -0.01  1.00  0.81   -99  1.46  0.72  0.16 -2.13  1.19  0.89  0.42  0.33 -0.30
1983 06  0.17  0.69  1.25  3.03  4.83  7.23  9.21  9.83  7.32  8.39   -99  8.29  8.87 10.16 10.31  8.68 -0.63 -0.30  0.12 -0.28  2.20  1.53  0.21  0.05   -99  0.67  0.89  1.00  0.94  0.02
1983 07  0.49  2.60  5.03  7.15 11.20 13.63 15.86 15.80 13.54 13.01   -99 14.31 14.68 15.58 14.68 11.89 -0.27 -0.52  1.47  2.35  2.87  1.84  0.98 -0.60   -99  0.46  0.70  0.63  0.44 -0.35
1983 08  0.89  3.73  5.08  8.12 11.90 14.23 16.80 17.51 15.08 13.91   -99 15.58 16.71 16.82 15.63 11.77 -2.30 -2.27 -0.75  1.22  1.41  0.65 -0.86 -1.51   -99 -1.64 -0.78 -1.16 -0.78 -1.92
1983 09  1.15  3.09  3.79  7.09 10.70   -99   -99 15.35 13.67 12.70   -99 14.67 15.28 16.86 17.22 12.85 -1.54 -1.42 -0.74   -99   -99 -0.07 -0.47  0.11   -99 -0.08 -0.49  0.12  1.43 -0.26
1983 10   -99  1.41  2.29  4.84  8.55   -99   -99 13.35 11.48  9.26  5.31 11.25 12.69 14.42 15.05 11.90 -0.31 -0.17  0.39   -99   -99  0.94  0.81  0.94  0.88  0.49  0.47  0.90  1.79  0.24
1983 11   -99   -99   -99   -99   -99   -99   -99   -99   -99  4.91  1.88   -99   -99  9.13 10.37  9.74   -99   -99   -99   -99   -99   -99   -99  0.58 -0.04   -99   -99 -0.18  0.84  0.40
1984 03   -99   -99   -99   -99   -99   -99  1.70   -99   -99   -99   -99   -99   -99  2.48  1.90  2.86   -99   -99   -99   -99  0.64   -99   -99   -99   -99   -99   -99  1.18  0.99  0.55
1984 04   -99   -99 -0.89 -0.86  0.54   -99   -99  2.82   -99  0.00  0.55  0.82   -99  2.95  1.57  2.75 -0.08 -0.51 -0.01   -99   -99  0.40   -99  0.02 -0.68  0.61   -99  0.80 -0.38 -0.50
1984 05   -99  0.12  0.46  0.79  2.27  5.14  4.00  4.81  3.49  2.85   -99  2.91  4.57  5.25  4.04  4.78  0.17  0.01  0.57 -0.14  0.44  0.21  0.38 -0.24   -99  0.22  0.89  0.44 -0.85 -0.78
1984 06 -0.17  0.51  0.68  2.15  4.84  6.73  6.70  7.93  6.48  7.03  6.80  6.45  7.65  9.09  9.10  8.08 -1.20 -1.18  0.13 -0.78 -0.31 -0.37 -0.63 -1.31 -1.41 -1.17 -0.33 -0.07 -0.27 -0.58
1984 07  1.46  2.64  4.54  7.59 10.66 11.31 13.92 15.40 13.41 13.98   -99 14.31 14.70 14.87 13.86 11.83 -0.76 -0.08  0.93  0.03  0.93  1.44  0.85  0.37   -99  0.46  0.72 -0.08 -0.38 -0.41
1984 08  1.63  4.45  6.76 10.22 13.58 13.51 16.82 18.32 17.17 16.06   -99 18.01 18.88 18.84 17.06 14.56 -0.62 -0.17  0.93  0.50  1.43  1.46  1.23  0.64   -99  0.79  1.39  0.86  0.65  0.87
1984 09  0.83  2.66  4.75  8.10 11.73 13.29 15.05 16.31 14.04 12.74   -99 14.24 16.14 16.91 16.28 13.21 -0.58 -0.41  0.29  0.70  1.72  0.89 -0.10  0.15   -99 -0.51  0.37  0.17  0.49  0.10
1984 10  0.07  0.81  1.63   -99   -99   -99   -99   -99   -99  7.21  3.92   -99   -99 12.44 12.91 12.13 -0.97   -99   -99   -99   -99   -99   -99 -1.11 -0.51   -99   -99 -1.08 -0.35  0.47
1984 11   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99  8.51  9.88 10.05 10.36   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99  0.55  0.57  0.52  1.02
1984 12   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99  7.13   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99  1.25   -99
1985 03   -99   -99   -99   -99   -99   -99  0.05  0.61   -99   -99 -1.02   -99 -0.14  0.65  0.49  2.79   -99   -99   -99   -99 -1.01 -1.00   -99   -99 -0.53   -99 -0.73 -0.65 -0.42  0.48
1985 04   -99   -99   -99  3.40  1.37  2.15  0.86  2.16  1.04  0.86  0.95  0.75  1.36  1.58  1.55  3.41   -99  3.75  0.82 -1.75 -0.93 -0.26  0.12  0.88 -0.28  0.54  0.06 -0.57 -0.40  0.16
1985 05   -99  0.20 -0.03 -0.10  0.21   -99  2.07  2.60  1.57  2.45   -99  1.35  2.16  3.60  3.65  4.68 -0.32 -0.88 -1.49   -99 -1.49 -2.00 -1.54 -0.64   -99 -1.34 -1.52 -1.21 -1.24 -0.88
1985 06  0.59  1.20  1.13  2.30  3.75  5.79  6.03  6.83  5.35  6.86  7.47  6.16  6.50  7.76  8.01  8.06 -0.75 -1.03 -0.96 -1.72 -0.98 -1.47 -1.76 -1.48 -0.74 -1.46 -1.48 -1.40 -1.36 -0.60
1985 07  1.95  3.55  4.99  7.75  9.54 10.73 13.09 13.83 11.29 13.44  9.65 12.77 12.51 13.76 13.22 11.63 -0.31  0.08 -0.19 -0.55  0.10 -0.13 -1.27 -0.17 -1.04 -1.08 -1.47 -1.19 -1.02 -0.61
1985 08  2.97  5.15  6.87  9.86 10.80 11.37 13.42 14.55 14.09 15.07  9.78 16.68 15.62 16.50 15.30 13.26 -0.51 -0.53 -1.85 -1.64 -1.97 -2.31 -1.85 -0.35 -0.47 -0.54 -1.87 -1.48 -1.11 -0.43
1985 09  2.19  3.86  5.66  7.85 10.23 10.52 11.27 13.88 13.09 12.66  8.10 14.56 14.18 15.40 15.38 13.28  0.33 -0.66 -1.21 -2.07 -2.06 -1.54 -1.05  0.07  0.58 -0.19 -1.59 -1.34 -0.41  0.17
1985 10   -99  1.35  1.42  3.73   -99   -99   -99   -99   -99  8.46  4.73   -99   -99 13.38 13.42 11.90 -1.18 -1.28   -99   -99   -99   -99   -99  0.14  0.30   -99   -99 -0.14  0.16  0.24
1985 11   -99   -99  0.18   -99   -99   -99   -99   -99   -99  3.46  1.46   -99   -99   -99  8.73  9.14 -0.74   -99   -99   -99   -99   -99   -99 -0.87 -0.46   -99   -99   -99 -0.80 -0.20
1985 12   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99  4.49  4.86  6.29   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99 -1.19 -1.02 -0.49
1986 01   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99  2.36  2.35  4.11   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99 -0.58 -0.26  0.02
1986 02   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99  1.21  1.22  2.87   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99 -0.46 -0.01  0.18
1986 03   -99   -99   -99   -99   -99   -99   -99   -99  0.29   -99 -0.43   -99  0.36  1.11  0.96  2.81   -99   -99   -99   -99   -99   -99 -0.00   -99  0.06   -99 -0.23 -0.19  0.05  0.50
1986 04   -99   -99 -0.01  0.56  1.75  4.14  3.07  3.94  1.90  0.51  1.94  2.02  2.49  3.37  3.27  4.61  0.80  0.91  1.20  0.24  1.28  1.52  0.98  0.53  0.71  1.81  1.19  1.22  1.32  1.36
1986 05   -99  0.45  0.86  1.60  2.34   -99  3.55  5.53  3.68  3.45  4.83  3.25  3.96  4.64  5.50  6.37  0.57  0.82  0.64   -99 -0.01  0.93  0.57  0.36  0.35  0.56  0.28 -0.17  0.61  0.81
1986 06  0.07  1.38  2.10  3.67  5.02  8.71  7.31  7.83  6.39  7.12  6.51  7.19  7.26  7.97  8.03  8.12  0.22  0.34  0.31  1.20  0.30 -0.47 -0.72 -1.22 -1.70 -0.43 -0.72 -1.19 -1.34 -0.54
1986 07  2.72  2.78  3.99  7.14  8.49  9.48 11.49 11.82 10.87 12.05  9.36 12.46 11.92 12.98 12.82 11.37 -1.31 -0.53 -1.24 -1.80 -1.50 -2.14 -1.69 -1.56 -1.33 -1.39 -2.06 -1.97 -1.42 -0.87
1986 08  3.34  5.90  7.67 10.07 12.20 12.80 14.48 15.52 14.73 14.49  9.32 15.74 15.50 16.47 15.95 13.50  0.29 -0.32 -0.45 -0.21 -0.91 -1.34 -1.21 -0.93 -0.93 -1.48 -1.99 -1.51 -0.46 -0.19
1986 09  2.22  4.03  6.14  8.57 10.95 12.73 12.19 13.95 13.46 11.29  6.54 13.64 14.23 14.67 14.54 12.75  0.81  0.06 -0.49  0.14 -1.14 -1.47 -0.68 -1.30 -0.98 -1.11 -1.54 -2.07 -1.25 -0.36
1986 10   -99  1.30  1.57  4.33  6.58  8.44  7.93 10.51  9.11  7.38  4.02  9.36 10.45 11.75 11.76 11.01 -1.03 -0.68 -1.58 -1.88 -2.19 -1.90 -1.56 -0.94 -0.41 -1.40 -1.77 -1.77 -1.50 -0.65
1986 11   -99   -99   -99   -99   -99   -99   -99   -99   -99  3.26  0.95   -99   -99  8.35  8.97  9.02   -99   -99   -99   -99   -99   -99   -99 -1.07 -0.97   -99   -99 -0.96 -0.56 -0.32
1986 12   -99   -99   -99   -99   -99   -99   -99   -99  2.58  0.56   -99   -99   -99  4.64  5.31  6.50   -99   -99   -99   -99   -99   -99 -1.12 -1.00   -99   -99   -99 -1.04 -0.57 -0.28
1987 01   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99  2.70  4.13   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99  0.09  0.04
1987 02   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99  1.19  0.46  2.26   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99 -0.48 -0.77 -0.43
1987 03   -99   -99   -99   -99  0.41  3.83  1.14   -99  0.11   -99   -99 -0.50  0.24  1.00  0.26  1.29   -99   -99  0.09  0.16  0.08   -99 -0.18   -99   -99  0.03 -0.35 -0.30 -0.65 -1.02
1987 04   -99   -99   -99  0.11  1.17  4.73  2.52  2.70  1.25  0.70  2.19  0.77  1.74  2.54  2.13  2.44   -99  0.46  0.62  0.83  0.73  0.28  0.33  0.72  0.96  0.56  0.44  0.39  0.18 -0.81
1987 05   -99 -0.21 -0.16  0.69  2.06  6.14  4.40  4.89  2.90  3.15  4.24  2.63  3.33  4.03  4.32  4.85 -0.45 -0.09  0.36  0.86  0.84  0.29 -0.21  0.06 -0.24 -0.06 -0.35 -0.78 -0.57 -0.71
1987 06  0.23  1.38  2.10  3.60  4.64  7.40  5.72  7.93  7.16  8.74  7.49  7.26  7.23  8.54  9.20  8.13  0.22  0.27 -0.07 -0.11 -1.29 -0.37  0.05  0.40 -0.72 -0.36 -0.75 -0.62 -0.17 -0.53
1987 07  1.34  2.74  4.49  7.73 10.34 11.37 12.90 13.34 12.74 13.89 10.39 14.12 13.92 14.96 14.39 11.12 -0.81  0.06  0.61  0.09 -0.09 -0.62  0.18  0.28 -0.30  0.27 -0.06  0.01  0.15 -1.12
1987 08  2.92  4.58  5.83  9.64 12.22 12.44 13.53 15.73 15.92 14.91  9.63 17.43 17.30 17.68 15.47 12.82 -1.55 -0.75 -0.43 -0.57 -1.86 -1.13 -0.02 -0.51 -0.62  0.21 -0.19 -0.30 -0.94 -0.87
1987 09  2.40  4.59  5.60  8.17 11.21 11.30 11.79 14.65 14.38 12.25  6.74 15.07 15.91 16.19 14.61 12.36  0.27 -0.34 -0.23 -1.29 -1.54 -0.77  0.24 -0.34 -0.78  0.32  0.14 -0.55 -1.18 -0.75
1987 10   -99  1.96  2.64  4.88  8.51   -99 10.44 12.82 11.44  8.27  4.00 11.04 12.76 13.39 12.64 10.72  0.04 -0.13  0.35   -99  0.32  0.41  0.77 -0.05 -0.43  0.28  0.54 -0.13 -0.62 -0.94
1987 11   -99   -99  0.47  1.76   -99   -99   -99   -99  6.40  3.70  1.05  5.79   -99  9.39  9.44  8.74 -0.45 -0.41   -99   -99   -99   -99 -0.45 -0.63 -0.87 -0.79   -99  0.08 -0.09 -0.60
1987 12   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99  5.58  6.19   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99 -0.30 -0.59
1988 01   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99  1.19  2.22  1.66  3.04   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99 -0.80 -0.72 -0.95 -1.05
1988 02   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99  1.64  1.13  2.40   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99 -0.03 -0.10 -0.29
1988 03   -99   -99   -99   -99  0.76   -99  1.59  2.08  0.65   -99 -0.53   -99  0.75  1.17  0.76  2.30   -99   -99  0.44   -99  0.53  0.47  0.36   -99 -0.04   -99  0.16 -0.13 -0.15 -0.01
1988 04   -99 -1.18 -1.40 -0.70  0.59  4.06  1.79  2.42  1.20  0.09  1.49  0.06  1.35  2.03  1.54  2.76 -0.59 -0.35  0.04  0.16 -0.00  0.00  0.28  0.11  0.26 -0.15  0.05 -0.12 -0.41 -0.49
1988 05   -99  0.24  0.58  1.76  3.42  6.65  5.96  6.04  4.49  3.70  4.58  3.52  4.93  5.25  5.25  5.57  0.29  0.98  1.72  1.37  2.40  1.44  1.38  0.61  0.10  0.83  1.25  0.44  0.36  0.01
1988 06 -0.05  0.97  1.82  3.36  5.56  9.25  8.30  9.22  7.41  7.17  7.96  7.20  8.05  8.46  8.10  8.33 -0.06  0.03  0.85  1.74  1.29  0.92  0.30 -1.17 -0.25 -0.42  0.07 -0.70 -1.27 -0.33
1988 07  1.44  3.92  5.25  8.14 10.66 11.91 14.25 14.96 12.55 13.25 11.20 12.66 13.43 14.38 13.46 12.00 -0.05  0.47  0.93  0.63  1.26  1.00 -0.01 -0.36  0.51 -1.19 -0.55 -0.57 -0.78 -0.24
1988 08  2.62  4.72  6.59  9.87 12.41 12.61 15.33 16.88 15.59 15.55 10.76 16.56 17.22 17.49 15.70 13.38 -0.79 -0.52 -0.24 -0.40 -0.06  0.02 -0.35  0.13  0.51 -0.66 -0.27 -0.49 -0.71 -0.31
1988 09   -99  3.18  5.06  8.35 11.40 11.92 13.41 15.30 13.96 11.73  6.11 13.88 14.82 15.62 13.88 12.00 -0.27 -0.16 -0.04 -0.67  0.08 -0.12 -0.18 -0.86 -1.41 -0.87 -0.95 -1.12 -1.91 -1.11
1988 10  1.03  2.01  2.78  5.29  8.58 10.84 10.76 12.60 10.26  7.57  3.41 10.01 10.91 12.17 11.21 10.69  0.18  0.28  0.42  0.52  0.64  0.19 -0.41 -0.75 -1.02 -0.75 -1.31 -1.35 -2.05 -0.97
1988 11   -99   -99   -99   -99   -99   -99  6.93  9.23  6.53  3.82  1.52   -99  7.15  8.45  8.13  8.33   -99   -99   -99   -99  0.22  0.39 -0.32 -0.51 -0.40   -99 -0.81 -0.86 -1.40 -1.01
1988 12   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99  3.83  3.95  5.43   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99 -1.85 -1.93 -1.35
1989 01   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99  1.41  2.96   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99 -1.20 -1.13
1989 03   -99   -99   -99   -99 -0.31   -99   -99  1.40 -0.22   -99 -0.36   -99 -0.08  0.64  1.02  1.55   -99   -99 -0.63   -99   -99 -0.21 -0.51   -99  0.13   -99 -0.67 -0.66  0.11 -0.76
1989 04   -99   -99 -0.98 -0.46  0.06  3.30  1.17  1.85  0.31 -0.06  1.69 -0.35  0.51  0.93  1.13  2.50 -0.17 -0.11 -0.49 -0.60 -0.62 -0.57 -0.61 -0.04  0.46 -0.56 -0.79 -1.22 -0.82 -0.75
1989 05   -99  0.31  0.27  0.97  0.75  3.84  2.82  3.85  2.26  2.37  3.17  1.89  3.17  4.46  4.52  4.89 -0.02  0.19 -0.95 -1.44 -0.74 -0.75 -0.85 -0.72 -1.31 -0.80 -0.51 -0.35 -0.37 -0.67
1989 06  0.73   -99  1.67  3.26  6.03  8.12  6.74  9.43  7.45  8.71  7.80  7.71  8.17  9.50  9.87  8.50 -0.21 -0.07  1.32  0.61 -0.27  1.13  0.34  0.37 -0.41  0.09  0.19  0.34  0.50 -0.16
1989 07  1.83  3.19  4.33  7.87  9.58 10.15 12.62 13.74 12.69 13.67 10.39 13.45 14.04 14.17 14.52 11.61 -0.97  0.20 -0.15 -1.13 -0.37 -0.22  0.13  0.06 -0.30 -0.40  0.06 -0.78  0.28 -0.63
1989 08  2.26  4.10  5.37 10.01 13.41 13.08 16.13 17.81 15.73 14.61  8.19 17.37 17.79 18.20 16.11 13.77 -2.01 -0.38  0.76  0.07  0.74  0.95 -0.21 -0.81 -2.06  0.15  0.30  0.22 -0.30  0.08
1989 09  1.44  2.64  3.41  7.03 11.94 13.01 14.81 16.45 13.14 11.24  6.40 13.64 15.57 16.27 14.87 12.75 -1.92 -1.48  0.50  0.42  1.48  1.03 -1.00 -1.35 -1.12 -1.11 -0.20 -0.47 -0.92 -0.36
1989 10   -99  1.33  1.75  3.36  6.80   -99 10.01 12.29  8.91  6.54  2.66  9.12 11.24 12.84 12.15 10.74 -0.85 -1.65 -1.36   -99 -0.11 -0.12 -1.76 -1.78 -1.77 -1.64 -0.98 -0.68 -1.11 -0.92
1989 11   -99  0.10  0.51  0.90  3.63   -99  6.55  9.46  6.20  3.24   -99   -99  7.77  9.58  9.60  8.99 -0.41 -1.27 -1.23   -99 -0.16  0.62 -0.65 -1.09   -99   -99 -0.19  0.27  0.07 -0.35
1989 12   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99  4.05   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99 -1.83   -99
1990 01   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99  1.05  1.76  1.36  3.11   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99 -0.94 -1.18 -1.25 -0.98
1990 02   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99  0.86  1.93   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99 -0.37 -0.76
1990 03   -99   -99   -99   -99 -0.51   -99 -0.14  0.33 -0.45 -1.24 -0.27 -0.81  0.03  1.22  0.96  1.76   -99   -99 -0.83   -99 -1.20 -1.28 -0.74 -0.21  0.22 -0.28 -0.56 -0.08  0.05 -0.55
1990 04   -99   -99   -99 -0.79  0.03   -99  0.88  1.39 -0.15 -0.30  1.05 -0.25  0.40  1.34  1.56  2.84   -99 -0.44 -0.52   -99 -0.91 -1.03 -1.07 -0.28 -0.18 -0.46 -0.90 -0.81 -0.39 -0.41
1990 05 -0.34 -0.02   -99  0.18  0.54  3.95  1.94  2.92  1.56  1.82  3.75  0.99  1.76  3.02  3.48  4.79   -99 -0.60 -1.16 -1.33 -1.62 -1.68 -1.55 -1.27 -0.73 -1.70 -1.92 -1.79 -1.41 -0.77
1990 06  0.11  1.23  0.98  1.79  2.47   -99  5.11  6.65  5.34  6.86  7.10  6.03  6.07  7.66  8.26  7.83 -0.90 -1.54 -2.24   -99 -1.90 -1.65 -1.77 -1.48 -1.11 -1.59 -1.91 -1.50 -1.11 -0.83
1990 07  1.23  3.20  3.45  5.82  8.05  9.28 11.33 12.74 11.50 12.37  9.02 12.95 12.03 13.46 13.50 12.06 -1.85 -1.85 -1.68 -2.00 -1.66 -1.22 -1.06 -1.24 -1.67 -0.90 -1.95 -1.49 -0.74 -0.18
1990 08  3.02  5.47  6.45  9.73 13.24 13.28 15.05 16.95 15.72 15.00  9.92 16.85 17.03 17.92 17.89 14.47 -0.93 -0.66  0.59  0.27 -0.34  0.09 -0.22 -0.42 -0.33 -0.37 -0.46 -0.06  1.48  0.78
