# AZMP_BottomTemp.dat   2020-03-20 10:56
# Normalized anomalies using 1981-2010 reference period.
# Peter Galbraith <Peter.Galbraith@dfo-mpo.gc.ca>
# with Maritimes data from Dave Hebert and NL data from Eugene Colbourne
#
# Bottom temperatures
#
# col  1: Year
# col  2: 3Ps, spring
# col  3: 3LNO, spring
# col  4: 2J, fall
# col  5: 3K, fall
# col  6: 3LNO, fall
# col  7: Mecatina Trough, >100 m, August
# col  8: nGSL, >200 m, August
# col  9: nGSL, <200 m, August
# col 10: Magdalen Shallows, September
# col 11: 4V, July
# col 12: 4W, July
# col 13: 4X, July
#
# Missing value parameter: -99
#
#Yr   3Ps 3LNO   2J   3K 3LNO  Meca  nG>  nG< MagS   4V   4W   4X
2009  0.66  0.54  0.53  0.46  0.79 -0.09 -0.68  0.64  1.49  0.48  0.33  0.01
2010  0.84  1.20  1.83  1.67  1.78  1.42 -0.32  1.15  1.14  0.61  0.67  0.46
2011  1.42  2.43  1.83  2.34  3.09  1.26  0.55  1.60  0.71  1.26  0.23  0.64
2012  1.20  1.70  0.35  0.54  0.69  1.15  1.63  2.94  0.96  1.73  2.24  2.92
2013  0.98  1.43  0.40  0.68  0.90 -1.31  2.34  1.48  0.38  1.03  0.74  1.45
2014  0.84 -0.16 -0.09 -0.01  0.51  0.39  2.90  1.79  0.26  1.82  2.56  2.30
2015  0.94  0.33 -0.09  0.24  0.07  1.98  3.62  2.07  0.98  2.78  2.05  1.26
2016  1.81  0.01  0.62  0.01  0.65  0.95  4.08  1.86  0.94  2.17  2.28  2.56
2017  0.60  0.17  0.18 -0.35 -0.97 -1.55  4.29  0.68 -0.94  1.92  1.10  2.16
2018  1.32  0.68  1.11  0.95  0.42  0.34  4.80  1.39  0.01   -99   -99  1.93
2019  1.08  0.52  1.11  1.05  0.46  0.60  5.26  0.80  1.27  1.41  1.17  1.59
