# AZMP_BottomTemp.dat   2020-03-20 10:56
# Peter Galbraith <Peter.Galbraith@dfo-mpo.gc.ca>
# with Maritimes data from Dave Hebert and NL data from Eugene Colbourne
#
# Bottom temperatures
#
# col  1: Year
# col  2: 3Ps, spring
# col  3: 3LNO, spring
# col  4: 2J, fall
# col  5: 3K, fall
# col  6: 3LNO, fall
# col  7: Mecatina Trough, >100 m, August
# col  8: nGSL, >200 m, August
# col  9: nGSL, <200 m, August
# col 10: Magdalen Shallows, September
# col 11: 4V, July
# col 12: 4W, July
# col 13: 4X, July
#
# Missing value parameter: -99
#
#Yr   3Ps 3LNO   2J   3K 3LNO  Meca  nG>  nG< MagS   4V   4W   4X
2001 1.89 1.14 2.54 2.53 1.18 -0.08 5.33 2.66 5.17 3.44 5.84 6.38
2002 2.19 1.00 2.37 2.79 1.14  0.63 5.42 2.81 5.74 3.80 6.75 8.12
2003 1.52 0.51 2.64 2.91 1.04 -0.69 5.43 2.38 5.24 2.73 5.80 7.45
2004 2.31 1.82 2.79 3.17 1.60  0.16 5.39 2.71 5.19 2.77 4.75 6.05
2005 2.73 1.41 2.88 2.95 1.29  0.69 5.30 2.86 5.12 3.87 6.40 7.28
2006 2.75 1.41 2.04 2.60 1.44  0.15 5.35 3.34 5.53 4.20 7.39 8.15
2007 1.77 1.21 2.94 2.98 1.12 -0.01 5.37 2.63 5.64 3.24 5.62 6.25
2008 2.31 1.20 2.22 2.86 0.91 -1.46 5.21 3.06 5.04 3.48 5.38 6.88
2009 2.60 1.22 2.33 2.63 1.41 -0.08 5.08 2.95 5.83 3.75 6.63 7.24
2010 2.71 1.60 3.15 3.23 1.84  1.38 5.15 3.17 5.66 3.83 6.89 7.57
2011 3.05 2.30 3.15 3.56 2.41  1.23 5.32 3.36 5.45 4.23 6.55 7.70
2012 2.92 1.88 2.22 2.67 1.37  1.12 5.53 3.93 5.57 4.51 8.09 9.36
2013 2.79 1.73 2.25 2.74 1.46 -1.25 5.67 3.31 5.29 4.09 6.94 8.29
2014 2.71 0.82 1.94 2.40 1.29  0.39 5.78 3.44 5.23 4.57 8.33 8.91
2015 2.77 1.10 1.94 2.52 1.10  1.92 5.92 3.56 5.58 5.15 7.94 8.15
2016 3.28 0.92 2.39 2.41 1.35  0.93 6.01 3.47 5.56 4.78 8.12 9.10
2017 2.57 1.01 2.11 2.23 0.65 -1.49 6.05 2.97 4.65 4.63 7.22 8.81
2018 2.99 1.30 2.70 2.87 1.25  0.34 6.15 3.27 5.11  -99  -99 8.64
2019 2.85 1.21 2.70 2.92 1.27  0.59 6.24 3.02 5.72 4.32 7.27 8.39
