"station","eGSL","eGSL","eGSL","eGSL","eGSL","Rimouski","Rimouski","Rimouski","Rimouski","Rimouski","wGSL","wGSL","wGSL","wGSL","wGSL","sGSL","sGSL","sGSL","sGSL","sGSL","Shediac Valley","Shediac Valley","Shediac Valley","Shediac Valley","Shediac Valley"
2008,15.9356507292287,9.85671430605535,176.004016271962,11.388835896136,9.42541909226893,14.3760043291193,1.43990854121704,57.3589000080308,3.32998362083625,16.015335580284,11.8420755757852,4.38557971479973,127.819998641961,11.0131215814784,10.665844313901,20.1523933612607,22.8098628944821,270.498498244221,12.4376915308219,4.53883091801771,16.4783158316867,15.1009852367103,244.324313723967,13.843996002448,2.28680958763997
2009,12.0906293732834,18.1774046972226,164.744217994831,9.87248310799569,10.8137703796096,17.7047946557954,1.29490129218709,71.4159748624327,6.56290592602766,8.06663233845009,6.78326157778362,4.17848909140664,97.1713483259226,9.76845638181368,8.48353304467293,8.57887219509255,30.7522837096333,218.779953687911,14.2846365690752,4.68817812144252,4.48183765504183,10.8106345797389,89.0473372779757,3.48881239899207,4.72085849440207
2010,10.4781500538133,13.0646431614252,150.678439299036,6.71136997860477,9.68596033600879,7.003597914076,3.12017836182949,58.6772395232361,7.1541213468627,8.36423649737976,5.93266314352929,7.63243708986871,142.132654597355,11.2405432902146,9.448616542198,5.22494574460165,40.4937487659177,201.767812826706,33.8025018894607,0.824749983953645,4.57248193261232,16.7879240218485,119.479262841832,6.62241510706604,0.970718615668194
2011,14.7451528022112,22.875912103644,190.053417119711,25.0842144845381,6.36431500708675,7.33099028601454,2.64385948947664,71.4861570618796,5.87260603641082,13.5420692929305,6.26112691542873,5.46553310356802,98.3143191905203,12.1883532087526,10.4038968077631,3.3165944748763,27.4345536933857,174.104862549712,36.1187472196683,2.84698152950279,3.47860997807674,11.5776912501234,87.5034661898904,8.26859153052412,1.04563247380259
2012,18.2762829913557,12.9167980690377,146.847026864035,12.1369238965452,9.02329217249844,8.41579703608745,0.756153359948284,54.6562317994233,4.14956498339838,11.3700485396743,8.29873363862265,1.20795642979038,61.5517057500331,5.4124312207014,13.2950008920101,11.1598667750687,25.8981146222631,200.23589725241,39.1741560865063,8.21069577631408,12.3123767441863,12.5332979611703,138.187618179532,20.774388239328,5.47238414835838
2013,13.6038969141979,17.4059952955817,128.429205609016,17.8300802716718,10.7568728374967,6.02544311719339,0.852523662455504,51.9621691167706,3.76292063115377,12.9591035627229,8.08153106569961,4.08199807267947,60.4564270067234,5.69795587905525,13.1868563290909,6.98710089223139,38.955929219508,127.849075176696,32.2443305894219,3.56443725573445,4.10224437799147,10.5123350886658,83.3989093845351,9.62261888651135,3.45852104415096
2014,8.14965075526692,29.4582199537849,165.817410864572,21.3898786425965,8.39619350916178,8.47075877080378,5.70792295160255,83.4704819057532,21.2044540881116,15.1394779718001,9.3307524926109,7.72481752867084,104.526544427891,17.6553875031051,11.3481028395441,7.03127802665907,28.6360436361646,157.172599546512,41.7953941946922,2.74402165722594,6.55354077439062,33.410871853427,225.871899201805,28.514620515703,4.56465001223234
2015,4.21991345534239,24.5355211074233,145.540385595146,28.7719609827138,7.71014632804633,2.59989839323399,7.39492669920507,90.1680930320796,20.2645237322153,11.8988234441393,2.14028537233198,9.18576020947284,87.3611268198385,24.5822348126971,8.25395581750851,1.30763017679252,28.2737523070535,206.952219192594,62.1536237561468,1.8477291289052,0.819143513471295,18.8255418700951,136.954290033597,28.7537534687227,2.25255938813105
2016,11.9170078845341,20.858029120197,176.449765630349,30.8202618513222,7.32665600354425,5.64387110871322,9.18354118116108,153.633884552111,9.52524117298154,9.60524070096115,8.3867469328756,12.5451615907944,171.08159462093,25.2626101498396,9.10120398795438,9.76455295434286,37.6819140918422,224.201696974912,45.3912162269394,1.39337283110068,5.76963667945402,19.8516204482507,152.979769133287,12.6091238240672,0.867252813088042
2017,17.1929117284126,31.5767106293487,200.240381628527,24.2354025491521,9.1605007794774,1.85573700191734,0.838075513808241,67.4010151833875,4.26559961343308,9.17684880774928,2.50674937075333,1.63170116588058,64.4613891723792,3.39666751188289,7.60517604204797,6.00067556101317,21.531135805976,123.532821174798,40.084285839992,1.11195679358285,3.21831949905181,5.5472172504288,45.4898054451716,9.07511013679647,-0.22676164436587
2018,8.43069301656934,14.8095093508467,122.873413483033,14.0530815033487,8.52689175254504,6.63086389947758,2.247979724473,81.9366414091073,9.20416499720844,9.65034889362839,6.68605570824977,5.62944211916519,88.8235953353154,13.5118889638254,9.05886179633367,5.74548697993257,29.8763051102383,150.746145883963,24.7989701802489,2.60549265017586,9.27561136915818,33.1033052166669,140.729483150229,7.44594822154024,5.14785134992992
2019,15.8679283580351,24.2650081034947,187.22681696224,30.2943381627694,8.94801936262009,7.29794075769317,4.43602005805982,99.5179984277722,8.6552980860462,15.1310308600519,6.94292191764265,6.2766696097441,84.9919571485563,8.69450616790016,13.1320046440975,11.2589203680868,27.9539310984597,160.664050051176,39.0063899806936,2.33955819197708,9.26441656966554,19.6882515834642,129.776199111168,6.21945609765782,1.1652226456858
