# AZMP_CIL_ICE_NAO.dat   2017-02-23 11:48
# Peter Galbraith <Peter.Galbraith@dfo-mpo.gc.ca>
# with Maritimes data from Dave Hebert and NL data from Eugene Colbourne
#
# Cold Intermediate Layer (CIL) temperature minimum areaa or volumes
# Sea ice volumes
# NAO index, Roger's Dec-Jan-Feb index
#
# col  1: Year
# col  2: CIL, Seal Island 0C Area (km^2)
# col  3: CIL, White Bay 0C Area (km^2)
# col  4: CIL, Bonavista 0C Area (km^2)
# col  5: CIL, Flemish Cap 0C Area (km^2)
# col  6: sGSL, Sep. T<1C Btm Area (x10^3 km^2)
# col  7: CIL, GSL Gilbert & Pettigrew 1997 T min index (degC)
# col  8: CIL, GSL Aug-Sep T<1C Volume (x10^3 km^3)
# col  9: CIL, Scotian Shelf T<4C Volume (x10^3 km^3)
# col 10: Sea Ice, Labrador + Nfld, DJFMAMJ avg (km^3)
# col 11: Sea Ice, GSL + SS, JFM avg (km^3)
# col 12: NAO index, Roger's Dec-Jan-Feb index (mB)
#
# Missing value parameter: -99
#
#Yr    SI   WB Bona   FC sGSL  GP97  GSLv   SSv IceNL IceGSL  NAO
2002 20.4 44.2 19.8 24.4 26.8 -0.20  7.94  5.21  36.2 22.7  17.56
2003 25.4 50.7 23.3 26.4 31.1 -0.82 11.40  6.84  53.1 58.6  17.46
2004 17.7 30.4 13.2 14.6 30.6 -0.28  9.08  7.97  21.2 31.4  11.73
2005 20.2 39.5 15.9 23.1 26.4 -0.08  7.77  4.94  27.6 36.3  24.86
2006 23.7 31.8 13.6 14.7 26.2  0.21  5.58  4.01  16.5  9.9  17.46
2007 22.4 42.5 19.3 27.7 26.5 -0.23  9.45  6.80  44.5 17.9  23.26
2008 28.9 50.0 15.6 23.3 32.7 -0.70 10.65  6.58  46.9 32.7  25.06
2009 33.2 63.8 25.2 27.5 25.8 -0.42  8.55  4.95  63.3 38.7  21.86
2010 17.7 42.6 19.9  7.8 21.4 -0.04  7.08  4.84  10.4  3.7  -4.64
2011 16.1 36.1  6.9  8.3 24.1  0.17  5.27  4.85   8.5  5.2  10.20
2012 24.5 46.1 21.0 25.7 17.3  0.42  3.53  2.89  26.2  9.1  32.20
2013 23.0 47.7 18.9 17.2 27.2  0.09  5.54  5.04  18.5 13.3  17.10
2014 31.1 60.4 34.7 28.5 31.6 -0.49  8.70  3.30  62.5 57.9  31.97
2015 30.5 59.0 30.0 25.9 28.1 -0.28  6.76  4.08  51.5 40.0  38.27
2016 21.7 66.2 26.6 26.2 25.7 -0.10  6.02  4.25  39.4  7.2  25.10
