                          ,      ,Start of Bloom, Amplitude,    Duration,    Magnitude
Hudson_Strait             ,  2019,            ,            ,            ,            
Lurcher_Shoal             ,  2012,            ,            ,            ,            
Lurcher_Shoal             ,  2013,            ,            ,            ,            
Lurcher_Shoal             ,  2014,            ,            ,            ,            
Lurcher_Shoal             ,  2015,            ,            ,            ,            
Lurcher_Shoal             ,  2016,            ,            ,            ,            
Lurcher_Shoal             ,  2017,       108.3,       1.182,        10.5,        8.68
Lurcher_Shoal             ,  2018,            ,            ,            ,            
Lurcher_Shoal             ,  2019,            ,            ,            ,            
Magdalen_Shallows         ,  2012,        72.9,       6.149,        36.8,      157.83
Magdalen_Shallows         ,  2013,        79.8,       2.663,        49.5,       92.00
Magdalen_Shallows         ,  2014,       103.5,       4.106,        30.2,       86.65
Magdalen_Shallows         ,  2015,       109.3,       2.498,        22.6,       39.45
Magdalen_Shallows         ,  2016,        65.2,       3.841,        60.7,      162.91
Magdalen_Shallows         ,  2017,        89.5,       1.451,        39.7,       40.26
Magdalen_Shallows         ,  2018,        76.4,       2.523,        57.3,      100.99
Magdalen_Shallows         ,  2019,        94.9,       1.562,        41.9,       45.70
Northeast_GSL             ,  2012,            ,            ,            ,            
Northeast_GSL             ,  2013,        99.2,       4.580,        22.3,       71.30
Northeast_GSL             ,  2014,       110.8,       0.686,        33.2,       15.90
Northeast_GSL             ,  2015,       122.1,       0.620,        17.9,        7.77
Northeast_GSL             ,  2016,       100.8,       2.198,        20.7,       31.73
Northeast_GSL             ,  2017,        93.4,       0.862,        30.8,       18.52
Northeast_GSL             ,  2018,        94.2,       3.093,        17.5,       37.83
Northeast_GSL             ,  2019,       113.6,       0.729,        15.1,        7.68
Northeast_Nfld_Shelf      ,  2012,        99.1,       2.413,        29.3,       49.41
Northeast_Nfld_Shelf      ,  2013,        96.9,       1.056,        42.8,       31.54
Northeast_Nfld_Shelf      ,  2014,       112.9,       1.723,        28.6,       34.46
Northeast_Nfld_Shelf      ,  2015,       121.0,       1.628,        24.4,       27.75
Northeast_Nfld_Shelf      ,  2016,       116.0,       2.716,        17.9,       33.90
Northeast_Nfld_Shelf      ,  2017,       114.1,       1.092,        46.1,       35.15
Northeast_Nfld_Shelf      ,  2018,       119.4,       3.038,        26.4,       55.97
Northeast_Nfld_Shelf      ,  2019,       112.2,       1.001,        33.4,       23.36
Northern_Labrador_Shelf   ,  2012,       148.3,       0.806,        29.5,       16.62
Northern_Labrador_Shelf   ,  2013,            ,            ,            ,            
Northern_Labrador_Shelf   ,  2014,            ,            ,            ,            
Northern_Labrador_Shelf   ,  2015,       137.8,       1.481,        23.2,       23.95
Northern_Labrador_Shelf   ,  2016,            ,            ,            ,            
Northern_Labrador_Shelf   ,  2017,            ,            ,            ,            
Northern_Labrador_Shelf   ,  2018,       171.3,       1.175,        21.3,       17.50
Northern_Labrador_Shelf   ,  2019,            ,            ,            ,            
Northwest_GSL             ,  2012,       100.8,       9.520,        16.1,      107.15
Northwest_GSL             ,  2013,       106.3,       5.399,        43.9,      165.66
Northwest_GSL             ,  2014,       110.1,       4.923,        75.4,      259.26
Northwest_GSL             ,  2015,       120.6,       6.067,        21.1,       89.27
Northwest_GSL             ,  2016,       108.5,      16.400,        16.2,      185.40
Northwest_GSL             ,  2017,        98.4,       4.853,        95.3,      322.88
Northwest_GSL             ,  2018,        89.6,       3.500,        81.2,      198.37
Northwest_GSL             ,  2019,            ,            ,            ,            
Southeast_Shoal           ,  2012,        82.3,       1.362,        37.9,       36.05
Southeast_Shoal           ,  2013,        93.9,       7.127,        24.4,      121.31
Southeast_Shoal           ,  2014,        76.7,       5.760,        66.1,      265.79
Southeast_Shoal           ,  2015,       112.2,       0.716,        32.5,       16.26
Southeast_Shoal           ,  2016,       121.3,       1.186,        19.3,       16.00
Southeast_Shoal           ,  2017,       110.4,       5.675,        16.3,       64.44
Southeast_Shoal           ,  2018,        79.2,       1.942,        42.6,       57.74
Southeast_Shoal           ,  2019,        81.4,       0.806,        70.5,       39.67
St.Anthony_Basin          ,  2012,       107.2,       1.237,        54.8,       47.33
St.Anthony_Basin          ,  2013,       122.1,       1.169,        31.6,       25.78
St.Anthony_Basin          ,  2014,       115.7,       1.850,        28.7,       37.10
St.Anthony_Basin          ,  2015,       123.8,       2.832,        23.9,       47.27
St.Anthony_Basin          ,  2016,       120.6,       1.286,        32.6,       29.28
St.Anthony_Basin          ,  2017,            ,            ,            ,            
St.Anthony_Basin          ,  2018,       113.4,       2.456,        41.9,       71.85
St.Anthony_Basin          ,  2019,        85.2,       0.673,        94.5,       44.39
Western_Bank              ,  2012,        27.7,       1.088,        73.5,       55.84
Western_Bank              ,  2013,        80.1,       0.529,        44.0,       16.26
Western_Bank              ,  2014,        75.9,       1.150,        16.2,       12.97
Western_Bank              ,  2015,        86.7,       1.652,        27.6,       31.81
Western_Bank              ,  2016,            ,            ,            ,            
Western_Bank              ,  2017,        24.2,       0.665,       101.0,       46.90
Western_Bank              ,  2018,        64.9,       1.299,        46.9,       42.57
Western_Bank              ,  2019,        80.1,       1.675,        23.9,       27.92
Western_Scotian_Shelf     ,  2012,        38.8,       0.894,        73.5,       45.90
Western_Scotian_Shelf     ,  2013,       101.2,       1.601,        18.7,       20.91
Western_Scotian_Shelf     ,  2014,        75.6,       0.752,        45.4,       23.83
Western_Scotian_Shelf     ,  2015,       100.6,       1.789,        21.3,       26.59
Western_Scotian_Shelf     ,  2016,        37.6,       0.353,        88.1,       21.68
Western_Scotian_Shelf     ,  2017,        83.9,       0.972,        27.2,       18.46
Western_Scotian_Shelf     ,  2018,        78.7,       0.668,        28.7,       13.40
Western_Scotian_Shelf     ,  2019,        88.4,       1.954,        22.8,       31.15
